File Name,Utterance,Speaker,Arousal,Valence,Dominance
101907,yeah,MOT,,,
101908,this is July thirtieth,MOT,,,
101909,go,CHI,0.51,0.441,0.444
101910,that's the recorder,MOT,0.551,0.374,0.481
101911,that's correct,MOT,0.857,0.306,0.723
101912,day day day day day day day day day day day,MOT,0.7190000000000002,0.2690000000000001,0.38900000000000007
101913,be,CHI,0.67,0.24,0.554
101914,be what,MOT,0.67,0.24,0.554
101915,Shower,CHI,,,
101916,be shower,MOT,0.6695,0.293,0.44500000000000006
101917,now she's running off to see the shower,MOT,0.6779999999999999,0.49099999999999994,0.36333333333333334
101918,Dwww,CHI,,,
101919,no,MOT,,,
101920,that's Jwww's name,MOT,0.573,0.3,0.415
101921,what's your name,MOT,0.573,0.3,0.415
101922,lo_lo,CHI,,,
101923,lo_lo,CHI,,,
101924,you want Jwww's pacifier,MOT,0.643,0.492,0.477
101925,what's your name,MOT,0.573,0.3,0.415
101926,pacifier and let her be in her bed,FAT,0.5790000000000001,0.28200000000000003,0.386
101927,it sure better,MOT,0.724,0.27,0.793
101928,what's your name Laura,MOT,0.573,0.3,0.415
101929,no,CHI,,,
101930,gram,CHI,0.578,0.333,0.26
101931,is it a hot day Laura,MOT,0.6045,0.5045,0.481
101932,no,CHI,,,
101933,gram,CHI,0.578,0.333,0.26
101934,pillows,MOT,,,
101935,they're lying on the,MOT,0.208,0.704,0.317
101936,pillow,CHI,0.663,0.128,0.195
101937,Jojo's pillow,MOT,0.663,0.128,0.195
101938,is it a hot day Laura,MOT,0.6045,0.5045,0.481
101939,lo_lo,CHI,,,
101940,no lo_lo,MOT,,,
101941,Lolo's gone,MOT,0.292,0.23,0.19
101942,is it a hot day Laura,MOT,0.6045,0.5045,0.481
101943,no,SIS,,,
101944,yeah,MOT,,,
101945,well we will in a minute,MOT,0.6399999999999999,0.3435,0.5455
101946,now now Laura's not helping us is she,MOT,,,
101947,hey Laura,MOT,,,
101948,is it a hot day,MOT,0.6045,0.5045,0.481
101949,Laura's busy playing with the airconditioning,MOT,0.402,0.5,0.474
101950,no she's fixing it,SIS,,,
101951,yeah,MOT,,,
101952,oh,SIS,,,
101953,so we,SIS,,,
101954,is it a,MOT,,,
101955,hey Laura,MOT,,,
101956,is it a hot day,MOT,0.6045,0.5045,0.481
101957,on,CHI,,,
101958,on,MOT,,,
101959,yes,MOT,,,
101960,the airconditioner's on,MOT,,,
101961,it's blowing her hair off her,SIS,0.5515,0.32899999999999996,0.36
101962,on,CHI,,,
101963,on,MOT,,,
101964,Daddy,CHI,,,
101965,that's Daddy's,MOT,,,
101966,right Laura,MOT,0.74,0.352,0.71
101967,not to touch it,MOT,-0.646,-0.477,-0.455
101968,not for Laura,MOT,,,
101969,Laura,MOT,,,
101970,not for Laura,MOT,,,
101971,she got the knobs for the airconditioner,MOT,,,
101972,not for Laura,MOT,,,
101973,crying,CHI,0.153,0.704,0.208
101974,not for Laura,MOT,,,
101975,whose is that,MOT,,,
101976,it,MOT,,,
101977,okay,MOT,,,
101978,Daddy's,CHI,,,
101979,oh ow,CHI,,,
101980,uhoh,CHI,0.32,0.622,0.284
101981,uhoh,CHI,0.32,0.622,0.284
101982,uhoh,CHI,0.32,0.622,0.284
101983,that's Mummy's not for Laura,MOT,,,
101984,Mommy's store,MOT,0.646,0.538,0.407
101985,where're the keys,MOT,,,
101986,key,CHI,0.615,0.275,0.519
101987,where are they,MOT,,,
101988,where's the key,MOT,0.615,0.275,0.519
101989,there,CHI,,,
101990,the key goes in the door,MOT,0.5820000000000001,0.232,0.47
101991,no Laura,MOT,,,
101992,help,CHI,0.673,0.471,0.46
101993,what do you wanna show me,MOT,0.6715,0.6595,0.6275
101994,open,CHI,0.62,0.48,0.569
101995,yes,MOT,,,
101996,I see the shower door's open,MOT,0.6413333333333333,0.365,0.4056666666666667
101997,open it,CHI,0.62,0.48,0.569
101998,what,MOT,,,
101999,cry,CHI,0.133,0.627,0.255
102000,why are you crying,MOT,0.153,0.704,0.208
102001,soap,CHI,0.531,0.163,0.311
102002,because_of the shower,MOT,0.669,0.346,0.336
102003,you wanna take a shower,MOT,0.7484999999999999,0.4415,0.34199999999999997
102004,no,CHI,,,
102005,door,MOT,0.549,0.189,0.421
102006,you wanna close the door,MOT,0.4205,0.2245,0.34199999999999997
102007,we Jo Jo,MOT,,,
102008,no,CHI,,,
102009,now I'm in the shower,MOT,0.669,0.346,0.336
102010,yes,MOT,,,
102011,is it a hot day Laura,MOT,0.6045,0.5045,0.481
102012,day,CHI,0.719,0.269,0.389
102013,there,CHI,,,
102014,colder,MOT,,,
102015,is it a hot day,MOT,0.6045,0.5045,0.481
102016,look there,CHI,0.719,0.429,0.615
102017,book,CHI,0.802,0.21,0.606
102018,book,MOT,0.802,0.21,0.606
102019,yes Daddy's book,MOT,0.802,0.21,0.606
102020,now she's picking up the scraps from an old magazine,MOT,0.5125,0.3055,0.346
102021,her mail,MOT,0.615,0.231,0.548
102022,whose is that,MOT,,,
102023,Laura,CHI,,,
102024,something more,MOT,,,
102025,what's so funny,MOT,0.918,0.61,0.566
102026,that that that,MOT,,,
102027,Ma,CHI,,,
102028,a hat,MOT,0.604,0.183,0.353
102029,that's a funny hat for Mommy,MOT,0.761,0.39649999999999996,0.45949999999999996
102030,my hat,CHI,0.604,0.183,0.353
102031,playing in a big pile of old bills and mail,MOT,0.5720000000000001,0.3545,0.5535
102032,hat,CHI,0.604,0.183,0.353
102033,okay no,MOT,,,
102034,we can't do that on the recorder,MOT,-0.0595,-0.08700000000000002,-0.027500000000000024
102035,where's you baby,MOT,0.837,0.365,0.455
102036,maybe it would make a good hat for the baby,MOT,0.7112,0.3496,0.44980000000000003
102037,baby,CHI,0.837,0.365,0.455
102038,you wanna put it on the baby,MOT,0.6785,0.3815,0.48250000000000004
102039,yes,SIS,,,
102040,okay,CHI,,,
102041,hey let's not rattle the paper right next_to us,MOT,-0.5833333333333334,-0.30133333333333334,-0.42366666666666664
102042,where's your baby Laura,MOT,0.837,0.365,0.455
102043,shower,CHI,0.669,0.346,0.336
102044,the baby's in the shower,MOT,0.669,0.346,0.336
102045,I don't think so,MOT,-0.786,-0.408,-0.618
102046,where're you going,MOT,,,
102047,shower,CHI,0.669,0.346,0.336
102048,I see the shower,MOT,0.652,0.3075,0.324
102049,where're you going,MOT,,,
102050,dark,CHI,0.198,0.398,0.426
102051,uhoh,MOT,0.32,0.622,0.284
102052,you wanna be tickled Laura,MOT,0.7125,0.4735,0.459
102053,you want me to tickle you,MOT,0.7155,0.6845,0.47
102054,no,CHI,,,
102055,there there,CHI,,,
102056,car,CHI,0.776,0.54,0.5
102057,cup,CHI,0.615,0.167,0.231
102058,cup,CHI,0.615,0.167,0.231
102059,no that's a lock,MOT,-0.271,-0.585,-0.6
102060,that's not a cup,MOT,-0.615,-0.167,-0.231
102061,that's a lock,MOT,0.271,0.585,0.6
102062,what are you doing,MOT,,,
102063,what is that,MOT,,,
102064,there,CHI,,,
102065,bite,MOT,0.219,0.796,0.51
102066,no,MOT,,,
102067,I don't think that's a good idea to bite that,MOT,0.28025,0.3235,0.2825
102068,biting a packet she found in Jack's drawer,MOT,0.6146666666666667,0.3423333333333333,0.39633333333333337
102069,so I did,MOT,,,
102070,what's this Laura,MOT,,,
102071,baby,CHI,0.837,0.365,0.455
102072,baby,CHI,0.837,0.365,0.455
102073,baby,CHI,0.837,0.365,0.455
102074,yes,MOT,,,
102075,that's another baby,MOT,0.837,0.365,0.455
102076,kissing the baby,MOT,0.837,0.365,0.455
102077,hair,CHI,0.582,0.186,0.286
102078,hair,MOT,0.582,0.186,0.286
102079,that's the baby's hair,MOT,0.582,0.186,0.286
102080,what's that,MOT,,,
102081,eye,CHI,0.531,0.265,0.425
102082,what's that,MOT,,,
102083,nose,CHI,0.582,0.27,0.245
102084,nose,MOT,0.582,0.27,0.245
102085,and that's the mouth,MOT,0.734,0.294,0.336
102086,right,MOT,0.74,0.352,0.71
102087,eye,CHI,0.531,0.265,0.425
102088,eye,MOT,0.531,0.265,0.425
102089,that's the baby's eye,MOT,0.531,0.265,0.425
102090,hair,CHI,0.582,0.186,0.286
102091,hair,MOT,0.582,0.186,0.286
102092,that's right,MOT,0.74,0.352,0.71
102093,bow wow,CHI,0.53,0.306,0.408
102094,bowwow,MOT,,,
102095,yes there's a bowwow in that drawer,MOT,0.429,0.196,0.292
102096,why do you spit at bow_wows,MOT,0.40950000000000003,0.5465,0.486
102097,see,CHI,0.635,0.269,0.312
102098,see what,MOT,0.635,0.269,0.312
102099,what should I see,MOT,0.635,0.269,0.312
102100,are you squeaking the dog,MOT,0.704,0.5,0.407
102101,yeah,MOT,,,
102102,is the baby crying,MOT,0.495,0.5345,0.3315
102103,cry,CHI,0.133,0.627,0.255
102104,can we get the recorder,MOT,0.6510000000000001,0.4426666666666666,0.5339999999999999
102105,the baby crying,MOT,0.495,0.5345,0.3315
102106,don't,CHI,,,
102107,you have about a two second attention span,MOT,0.6056,0.3456,0.5098
102108,towel,CHI,0.63,0.208,0.286
102109,towel yes,MOT,0.63,0.208,0.286
102110,Daddy left a towel out,MOT,0.492,0.289,0.3235
102111,shower,CHI,0.669,0.346,0.336
102112,and shower,MOT,0.669,0.346,0.336
102113,let's close the shower,MOT,0.48050000000000004,0.303,0.2995
102114,what's this,MOT,,,
102115,how,CHI,,,
102116,shower,CHI,0.669,0.346,0.336
102117,yes the shower,MOT,0.669,0.346,0.336
102118,Mummy,CHI,,,
102119,cry,CHI,0.133,0.627,0.255
102120,why does Mommy cry,MOT,0.133,0.627,0.255
102121,Mommy's not crying,MOT,-0.153,-0.704,-0.208
102122,hee,CHI,0.43,0.433,0.312
102123,door,CHI,0.549,0.189,0.421
102124,yeah,MOT,,,
102125,the shower door,MOT,0.609,0.26749999999999996,0.3785
102126,uhoh,CHI,0.32,0.622,0.284
102127,crying door,CHI,0.35100000000000003,0.4465,0.3145
102128,uhoh,MOT,0.32,0.622,0.284
102129,bye,MOT,0.375,0.398,0.321
102130,door,MOT,0.549,0.189,0.421
102131,no the door doesn't cry,MOT,-0.341,-0.40800000000000003,-0.33799999999999997
102132,banging the shower door,MOT,0.609,0.26749999999999996,0.3785
102133,fascinated with the shower door this morning,MOT,0.6795,0.371,0.49725
102134,recorder,CHI,0.551,0.374,0.481
102135,recorder,MOT,0.551,0.374,0.481
102136,yes,CHI,,,
102137,whose recorder is that,MOT,0.551,0.374,0.481
102138,hey Laura,MOT,,,
102139,is it a hot day today,MOT,0.6716666666666667,0.4383333333333333,0.4413333333333333
102140,shower,CHI,0.669,0.346,0.336
102141,why don't you do it for me huh,MOT,-0.67,-0.548,-0.536
102142,came into living_room and,MOT,,,
102143,oh hi,CHI,,,
102144,fire,CHI,0.38,0.804,0.635
102145,hat do you want,MOT,0.6483333333333333,0.4576666666666667,0.4956666666666667
102146,fire,CHI,0.38,0.804,0.635
102147,powder,MOT,0.521,0.25,0.194
102148,I don't see powder,MOT,-0.5780000000000001,-0.2595,-0.253
102149,what do you want Laura,MOT,0.6705000000000001,0.595,0.567
102150,shower,CHI,0.669,0.346,0.336
102151,shower,MOT,0.669,0.346,0.336
102152,I saw the shower,MOT,0.49250000000000005,0.4435,0.42700000000000005
102153,where's Daddy,MOT,,,
102154,shower,CHI,0.669,0.346,0.336
102155,paint,CHI,0.667,0.343,0.413
102156,crayon,MOT,0.604,0.26,0.185
102157,paint,CHI,0.667,0.343,0.413
102158,there's the the the the kitchen,FAT,0.7,0.234,0.398
102159,yeah,MOT,,,
102160,pen,CHI,0.622,0.194,0.25
102161,crayon,MOT,0.604,0.26,0.185
102162,oh really,MOT,,,
102163,here,FAT,,,
102164,do do that one,FAT,0.6273333333333334,0.4626666666666667,0.48066666666666674
102165,pen,CHI,0.622,0.194,0.25
102166,I didn't even know we had one,MOT,-0.11149999999999999,-0.0345,-0.16699999999999998
102167,me,CHI,,,
102168,crayon,MOT,0.604,0.26,0.185
102169,uhoh,MOT,0.32,0.622,0.284
102170,look that's carbon paper and we don't play on carbon paper,MOT,0.15783333333333333,-0.015000000000000013,0.14049999999999999
102171,we'll get you a paper,MOT,0.63,0.3585,0.48
102172,you want a paper,MOT,0.5955,0.3825,0.4455
102173,here Laura,MOT,,,
102174,here's a paper,MOT,0.52,0.123,0.293
102175,what did you say,MOT,0.571,0.31,0.482
102176,what is that,MOT,,,
102177,paint,CHI,0.667,0.343,0.413
102178,what is it,MOT,,,
102179,house,CHI,0.587,0.135,0.533
102180,did you make a picture of a house,MOT,0.6616666666666667,0.2876666666666667,0.4916666666666667
102181,yes,CHI,,,
102182,oh,MOT,,,
102183,very gleefully crayoning on a piece of paper,MOT,0.583,0.184,0.32999999999999996
102184,makes makes makes,MOT,,,
102185,oh you're welcome,MOT,0.898,0.555,0.664
102186,never she makes something there,MOT,,,
102187,pee_pee,CHI,,,
102188,pee_pee,CHI,,,
102189,who made pee_pee,MOT,,,
102190,pee_pee living_room,SIS,,,
102191,oh pee,CHI,0.449,0.529,0.391
102192,living_room,SIS,,,
102193,hey is that a kitty too,MOT,,,
102194,you're making a nice picture,MOT,0.8220000000000001,0.375,0.556
102195,thank you,CHI,0.958,0.353,0.526
102196,look a bee,SIS,0.6194999999999999,0.469,0.46199999999999997
102197,yes a bee,MOT,0.52,0.509,0.309
102198,whose is that,MOT,,,
102199,Dwww's,CHI,,,
102200,it's yours,SIS,,,
102201,oh you having so much fun crayoning,MOT,0.918,0.843,0.667
102202,good for you,MOT,0.938,0.368,0.534
102203,Dwww,CHI,,,
102204,Dwww,MOT,,,
102205,yes,MOT,,,
102206,Jwww's using it,MOT,,,
102207,crayon,CHI,0.604,0.26,0.185
102208,no,MOT,,,
102209,we don't crayon on the recorder,MOT,-0.026499999999999968,0.056999999999999995,0.148
102210,no,MOT,,,
102211,you can't play on the recorder Laura,MOT,-0.1305,-0.1955,0.0615
102212,picture,CHI,0.714,0.308,0.462
102213,you're welcome,MOT,0.898,0.555,0.664
102214,who's this Laura,MOT,,,
102215,does does this spell,SIS,0.385,0.38,0.368
102216,Jwww,CHI,,,
102217,Jwww's baby right,MOT,0.7885,0.3585,0.5825
102218,what does this spell,SIS,0.385,0.38,0.368
102219,crayon,CHI,0.604,0.26,0.185
102220,oh,MOT,,,
102221,toe,CHI,0.406,0.221,0.293
102222,fuug,MOT,,,
102223,toe,CHI,0.406,0.221,0.293
102224,toe,MOT,0.406,0.221,0.293
102225,yes,MOT,,,
102226,Mommy,CHI,,,
102227,that's your toe,MOT,0.406,0.221,0.293
102228,I'll help you to stick,SIS,0.5345,0.4175,0.42100000000000004
102229,where's Daddy,MOT,,,
102230,where's Daddy,MOT,,,
102231,car,CHI,0.776,0.54,0.5
102232,where's Nana Laura,MOT,,,
102233,Nana,CHI,,,
102234,where is she,MOT,,,
102235,Nana,CHI,,,
102236,where's Nana,MOT,,,
102237,Nana byebye,CHI,,,
102238,is she,MOT,,,
102239,byebye,CHI,,,
102240,is Nana byebye,MOT,,,
102241,car,CHI,0.776,0.54,0.5
102242,I see,MOT,0.635,0.269,0.312
102243,did Nana go byebye,MOT,0.51,0.441,0.444
102244,snowing snowing,CHI,0.586,0.49,0.387
102245,car,MOT,0.776,0.54,0.5
102246,Daddy,CHI,,,
102247,Daddy,CHI,,,
102248,Daddy,CHI,,,
102249,Daddy,CHI,,,
102250,Daddy,CHI,,,
102251,no,CHI,,,
102252,more,CHI,,,
102253,what,FAT,,,
102254,bye,CHI,0.375,0.398,0.321
102255,going,CHI,,,
102256,what's he doing,MOT,,,
102257,more,CHI,,,
102258,book,MOT,0.802,0.21,0.606
102259,yeah,MOT,,,
102260,where's the book,FAT,0.802,0.21,0.606
102261,oh she wants the belt,MOT,0.541,0.322,0.445
102262,belt,FAT,0.541,0.322,0.445
102263,straw,CHI,0.48,0.29,0.163
102264,I see the straw,MOT,0.5575,0.27949999999999997,0.2375
102265,oh,FAT,,,
102266,baby,CHI,0.837,0.365,0.455
102267,who wants the baby,FAT,0.837,0.365,0.455
102268,Beecer,CHI,,,
102269,Beecer,CHI,,,
102270,how_about some tea,FAT,0.698,0.163,0.37
102271,tea,CHI,0.698,0.163,0.37
102272,cup,CHI,0.615,0.167,0.231
102273,want want some tea,FAT,0.68,0.48233333333333334,0.5219999999999999
102274,yes please,CHI,,,
102275,uhoh,FAT,0.32,0.622,0.284
102276,uhoh,FAT,0.32,0.622,0.284
102277,uhoh,CHI,0.32,0.622,0.284
102278,here we go,FAT,0.51,0.441,0.444
102279,baby,CHI,0.837,0.365,0.455
102280,Laura,CHI,,,
102281,yes,FAT,,,
102282,oh you want this,FAT,0.671,0.642,0.598
102283,Dora,CHI,,,
102284,first first,FAT,0.625,0.5,0.788
102285,where's the bellybutton,FAT,0.531,0.283,0.36
102286,hey baby,CHI,0.837,0.365,0.455
102287,bellybutton bellybutton bellybutton bellybutton,FAT,0.531,0.283,0.36
102288,song,CHI,0.854,0.413,0.5
102289,Laura Laura Laura Laura Laura,MOT,,,
102290,song song song,CHI,0.854,0.413,0.5
102291,omlala,CHI,,,
102292,Daddy's bellybutton,FAT,0.531,0.283,0.36
102293,Laura's sitting in an old infant seat surrounded with toys,MOT,0.5787500000000001,0.28425,0.3575
102294,she,MOT,,,
102295,hey,CHI,,,
102296,ow,CHI,,,
102297,uhuh,CHI,,,
102298,well got got one now,MOT,0.542,0.292,0.37
102299,we're set set,MOT,0.521,0.482,0.63
102300,Laura,CHI,,,
102301,hey,FAT,,,
102302,is that Laura's chair,MOT,0.562,0.082,0.276
102303,well she can have this wants wants wants,SIS,0.7095,0.3745,0.5235
102304,you you,MOT,,,
102305,Laura,MOT,,,
102306,do you want a song,MOT,0.7316666666666668,0.5343333333333333,0.5446666666666666
102307,where's your,MOT,,,
102308,wanna sing,MOT,0.858,0.606,0.42
102309,set,MOT,0.521,0.482,0.63
102310,where's your little stroller today,FAT,0.659,0.28800000000000003,0.29633333333333334
102311,where are you going Laura,MOT,,,
102312,where're you going,MOT,,,
102313,here,CHI,,,
102314,going going going,MOT,,,
102315,Laura,CHI,,,
102316,what are you doing,MOT,,,
102317,playing,FAT,,,
102318,baby,CHI,0.837,0.365,0.455
102319,baby,CHI,0.837,0.365,0.455
102320,taking the baby from one infant seat to a second infant seat,MOT,0.651,0.32728571428571435,0.37128571428571433
102321,not getting any sleep,MOT,-0.719,-0.09,-0.339
102322,have a nap,FAT,0.7085,0.2435,0.4675
102323,thirty one,MOT,0.552,0.3205,0.34299999999999997
102324,night_night,CHI,,,
102325,Laura speaking,MOT,0.753,0.59,0.575
102326,night_night,CHI,,,
102327,here,CHI,,,
102328,it night_night,CHI,,,
102329,you wanna go night_night,MOT,0.51,0.441,0.444
102330,Daddy,CHI,,,
102331,crayons,MOT,0.684,0.366,0.405
102332,let's put the crayons back in the box Laura,MOT,0.5355000000000001,0.324,0.39075000000000004
102333,don't step them into the carpet,MOT,-0.005500000000000005,-0.0755,-0.003999999999999976
102334,let's put it back in the box,MOT,0.486,0.31,0.38600000000000007
102335,oh we're picking up crayons and putting them in the box together,MOT,0.686,0.3123333333333333,0.4583333333333333
102336,is it hot today Laura,MOT,0.648,0.523,0.46749999999999997
102337,spiders,CHI,0.26,0.696,0.368
102338,what,MOT,,,
102339,no,MOT,,,
102340,don't dump them Laura,MOT,-0.345,-0.5,-0.37
102341,put them back in,MOT,0.479,0.3755,0.42300000000000004
102342,oh,CHI,,,
102343,oh,MOT,,,
102344,me Dwww,CHI,,,
102345,on,CHI,,,
102346,yes it's on,MOT,,,
102347,we're taping the baby,MOT,0.837,0.365,0.455
102348,you like the recorder,MOT,0.635,0.3635,0.4635
102349,on,CHI,,,
102350,yes it's on,MOT,,,
102351,no,CHI,,,
102352,yeah they're buttons,MOT,,,
102353,buttons,CHI,,,
102354,no,MOT,,,
102355,can't have your buttons,MOT,-0.757,-0.389,-0.593
102356,they're my buttons,MOT,,,
102357,down,CHI,0.208,0.33,0.264
102358,where where,MOT,,,
102359,water,CHI,0.812,0.123,0.429
102360,water,CHI,0.812,0.123,0.429
102361,there,CHI,,,
102362,no,MOT,,,
102363,that's Daddy's,MOT,,,
102364,dance there,CHI,0.894,0.84,0.551
102365,dance,MOT,0.894,0.84,0.551
102366,okay,MOT,,,
102367,she's jumping up and down on her,MOT,0.208,0.33,0.264
102368,ahhah,CHI,,,
102369,do you wanna dance,MOT,0.782,0.694,0.5435000000000001
102370,you want me to sing Oompapa and you dance,MOT,0.8076666666666666,0.6960000000000001,0.523
102371,on,CHI,,,
102372,no Laura,MOT,,,
102373,we can't have it on,MOT,-0.757,-0.389,-0.593
102374,that's Daddy's Laura,MOT,,,
102375,Laura,MOT,,,
102376,come pick up the crayon please,MOT,0.5443333333333333,0.331,0.42266666666666675
102377,uhuh,MOT,,,
102378,don't,CHI,,,
102379,that's Daddy's toy,MOT,0.878,0.42,0.275
102380,give,CHI,0.75,0.346,0.5
102381,I want,CHI,0.671,0.642,0.598
102382,what should we do,MOT,0.67,0.548,0.536
102383,Daddy,CHI,,,
102384,dance,CHI,0.894,0.84,0.551
102385,yes,MOT,,,
102386,dance,MOT,0.894,0.84,0.551
102387,on,CHI,,,
102388,what do you want on,MOT,0.6705000000000001,0.595,0.567
102389,want that,CHI,0.671,0.642,0.598
102390,no Laura,MOT,,,
102391,that's Daddy's toy,MOT,0.878,0.42,0.275
102392,she's stuck in the masking tape and pulling the pulling the tape off the door,MOT,0.44100000000000006,0.34675,0.3035
102393,are you sposta go in there Laura,MOT,0.51,0.441,0.444
102394,are you sposta go in there,MOT,0.51,0.441,0.444
102395,there there there,CHI,,,
102396,yeah,MOT,,,
102397,that's the recorder,MOT,0.551,0.374,0.481
102398,uhoh,CHI,0.32,0.622,0.284
102399,uhoh,CHI,0.32,0.622,0.284
102400,uhoh uhoh,MOT,0.32,0.622,0.284
102401,uhoh,CHI,0.32,0.622,0.284
102402,what is that,MOT,,,
102403,yeah,CHI,,,
102404,Jwww,MOT,,,
102405,don't look,MOT,-0.719,-0.429,-0.615
102406,no,MOT,,,
102407,don't that that,MOT,,,
102408,you you,CHI,,,
102409,thank you,MOT,0.958,0.353,0.526
102410,you you,CHI,,,
102411,Mommy Mommy,MOT,,,
102412,do you wanna ride Cee,MOT,0.738,0.5065000000000001,0.504
102413,yeah,CHI,,,
102414,you want Cee,MOT,0.671,0.642,0.598
102415,on,CHI,,,
102416,on Cee,MOT,,,
102417,okay,MOT,,,
102418,putting her on the hobby_horse now,MOT,,,
102419,Cee,CHI,,,
