,index,filename,path,utt_num,who,role,postcodes,gems,utterance,startTime,endTime,emotion_words,context,decimal_age,age_group,label
0,4,010615,childes/Eng-NA/Braunwald/010615,227,CHI,Target_Child,I,,oh good,710.506,712.143,['good'],"[""MOT:you're bypassing the bowl in front of me"", 'SIS:Laura', ""SIS:I'll help"", ""SIS:here's a strawberry too"", ""SIS:here's a strawberry too"", 'CHI:oh good']",1.5,1-2,Emotion.
1,9,010621,childes/Eng-NA/Braunwald/010621,108,CHI,Target_Child,,,good,223.494,224.028,['good'],"[""MOT:that's right"", 'CHI:Swww', 'CHI:Swww', 'SIS:mm', 'SIS:this is', 'CHI:good']",1.5,1-2,Approval
2,11,010707,childes/Eng-NA/Braunwald/010707,259,CHI,Target_Child,,,good doggy,489.898,491.721,['good'],"['MOT:maybe he is', ""SIS:Gwww isn't a kitty"", 'CHI:he more than you', ""SIS:you know Gwww isn't a kitty"", 'CHI:yeah', 'CHI:good doggy']",1.58,1-2,Praise.
3,12,010707,childes/Eng-NA/Braunwald/010707,261,CHI,Target_Child,SR,,good doggy,492.382,494.136,['good'],"['CHI:he more than you', ""SIS:you know Gwww isn't a kitty"", 'CHI:yeah', 'CHI:good doggy', 'FAT:oh', 'CHI:good doggy']",1.58,1-2,Emotion
4,13,010707,childes/Eng-NA/Braunwald/010707,262,CHI,Target_Child,SR,,good doggy,494.321,496.248,['good'],"[""SIS:you know Gwww isn't a kitty"", 'CHI:yeah', 'CHI:good doggy', 'FAT:oh', 'CHI:good doggy', 'CHI:good doggy']",1.58,1-2,Affection.
5,14,010725,childes/Eng-NA/Braunwald/010725,205,CHI,Target_Child,,,good,524.167,524.956,['good'],"['MOT:here you go', 'CHI:I like', 'SIS:Mom', 'MOT:cereal kids', 'SIS:I am', 'CHI:good']",1.58,1-2,Behavior
6,15,010725,childes/Eng-NA/Braunwald/010725,206,CHI,Target_Child,SR,,good,525.409,526.14,['good'],"['CHI:I like', 'SIS:Mom', 'MOT:cereal kids', 'SIS:I am', 'CHI:good', 'CHI:good']",1.58,1-2,Behavior
7,17,010902,childes/Eng-NA/Braunwald/010902,47,CHI,Target_Child,,,want a good breakfast,87.764,89.738,['good'],"['CHI:baby there Mama', 'CHI:baby there', ""MOT:that's a little doll too"", ""MOT:that's Joanna's little toy doll"", ""MOT:let's have a good breakfast"", 'CHI:want a good breakfast']",1.75,1-2,Quality
8,18,010902,childes/Eng-NA/Braunwald/010902,236,CHI,Target_Child,PI,,get a good,564.581,566.984,['good'],"['MOT:okay', 'CHI:get my baby doll', ""MOT:here's your baby doll"", 'MOT:there you go', 'MOT:mhm', 'CHI:get a good']",1.75,1-2,Evaluation
9,19,010902,childes/Eng-NA/Braunwald/010902,308,CHI,Target_Child,,,good ate mine,732.179,733.874,['good'],"['MOT:uhhuh', 'CHI:uhuh', 'MOT:uhhuh', 'CHI:uhuh', 'CHI:here', 'CHI:good ate mine']",1.75,1-2,Possession
10,20,010902,childes/Eng-NA/Braunwald/010902,329,CHI,Target_Child,,,good keys,781.034,782.81,['good'],"[""CHI:can't get me down"", ""MOT:well what's the doll doing"", 'CHI:baby', 'CHI:cry', 'MOT:ahoh want the baby to stop crying', 'CHI:good keys']",1.75,1-2,Sound
11,21,010916,childes/Eng-NA/Braunwald/010916,45,CHI,Target_Child,,,good,186.379,187.378,['good'],"['MOT:yes', 'MOT:I know a quarter', ""MOT:you're not sposta notice that"", 'CHI:on', 'CHI:make make cup', 'CHI:good']",1.75,1-2,Action
12,26,011109,childes/Eng-NA/Braunwald/011109,483,CHI,Target_Child,,,good Judy,1111.954,1113.615,['good'],"['MOT:yes', 'MOT:Dee_Dee will be back soon', 'CHI:Judy', 'MOT:she went with Judy to school', ""MOT:that's it"", 'CHI:good Judy']",1.92,1-2,Approval
13,27,011124,childes/Eng-NA/Braunwald/011124,15,CHI,Target_Child,,,good,86.752,87.495,['good'],"['CHI:bread bread bread bread bread', 'CHI:I want some bread', 'MOT:you want brown bread', 'CHI:mhm', 'MOT:alright', 'CHI:good']",1.92,1-2,Emotion
14,28,011124,childes/Eng-NA/Braunwald/011124,214,CHI,Target_Child,,,this is good,896.124,897.123,['good'],"['CHI:I want a pee', 'CHI:want a pee please', 'MOT:that was', 'CHI:excuse me', ""MOT:you're excused"", 'CHI:this is good']",1.92,1-2,Emotion
15,31,020110,childes/Eng-NA/Braunwald/020110,104,CHI,Target_Child,,,that's good,173.522,174.95,['good'],"['MOT:alright', ""MOT:I won't pour your milk"", ""MOT:you pour your milk when you're ready for it"", 'CHI:Mommy', 'MOT:what', ""CHI:that's good""]",2.08,2-3,Approval
16,32,020115,childes/Eng-NA/Braunwald/020115,30,CHI,Target_Child,,,that's good,82.47,84.002,['good'],"[""MOT:that's right"", 'MOT:mhm', ""MOT:let's all go right"", 'CHI:this is mine', 'MOT:yeah', ""CHI:that's good""]",2.08,2-3,Approval
17,33,020119,childes/Eng-NA/Braunwald/020119,61,CHI,Target_Child,,,that's good,152.082,153.475,['good'],"['MOT:a different breakfast', ""SIS:it's a dinner and it's breakfast food"", 'MOT:uhuh', 'CHI:Mommy', 'MOT:yes Laura', ""CHI:that's good""]",2.08,2-3,Emotion
18,35,020126,childes/Eng-NA/Braunwald/020126,32,CHI,Target_Child,,,good good,71.077,72.331,['good'],"['SIS:how come you gave Laura my cup', 'MOT:hope you like your dinner', ""MOT:it's trouble for me"", 'CHI:mm', 'MOT:sit and quietly', 'CHI:good good']",2.08,2-3,Approval
19,36,020126,childes/Eng-NA/Braunwald/020126,318,CHI,Target_Child,,,good dinner,552.822,553.96,['good'],"['CHI:say umm', 'MOT:say umm', 'SIS:say say say say', 'MOT:umm umm umm umm umm', 'SIS:sure', 'CHI:good dinner']",2.08,2-3,Emotion
20,37,020128,childes/Eng-NA/Braunwald/020128,63,CHI,Target_Child,,,that tastes very good,113.948,116.711,['good'],"['CHI:we salt', 'CHI:salt', 'CHI:more', 'MOT:what', 'MOT:what sweetie', 'CHI:that tastes very good']",2.08,2-3,Taste
21,38,020128,childes/Eng-NA/Braunwald/020128,69,CHI,Target_Child,,,you good Mommy Mommy,124.986,127.041,['good'],"['MOT:does it', 'CHI:yeah', 'MOT:good', 'MOT:Mommy really knows how to make eggs', 'CHI:yeah', 'CHI:you good Mommy Mommy']",2.08,2-3,Approval
22,39,020128,childes/Eng-NA/Braunwald/020128,75,CHI,Target_Child,,,good coffeepot,133.566,134.808,['good'],"['MOT:uhuh', 'MOT:thank you Laura', ""MOT:you're a good daughter"", 'MOT:I love you', 'CHI:yeah', 'CHI:good coffeepot']",2.08,2-3,Quality
23,40,020218,childes/Eng-NA/Braunwald/020218,15,CHI,Target_Child,,,I good girl,24.178,28.253,['good'],"[""MOT:we won't hear the whispers"", 'SIS:Laura talk to Deedee', 'MOT:oh', 'MOT:Laura', 'MOT:Laura', 'CHI:I good girl']",2.17,2-3,Behavior
24,42,020218,childes/Eng-NA/Braunwald/020218,407,CHI,Target_Child,,,good good,1031.449,1032.958,['good'],"['SIS:right', 'CHI:right', 'MOT:mhm', ""SIS:not being in a restaurant isn't a for you"", 'CHI:go there', 'CHI:good good']",2.17,2-3,Approval
25,45,020221,childes/Eng-NA/Braunwald/020221,1039,CHI,Target_Child,,,good good good,1989.061,1990.779,['good'],"[""ADU:you're hammering it out"", ""ADU:you look like you're hammering it in"", 'CHI:I hammer it out', 'CHI:see it it it', 'ADU:you hammered it out', 'CHI:good good good']",2.17,2-3,Repetition
26,46,020221,childes/Eng-NA/Braunwald/020221,1041,CHI,Target_Child,PI,,that feels good taperecorder,1992.114,1994.703,['good'],"['CHI:I hammer it out', 'CHI:see it it it', 'ADU:you hammered it out', 'CHI:good good good', 'ADU:that feels good', 'CHI:that feels good taperecorder']",2.17,2-3,Approval
27,47,020300a,childes/Eng-NA/Braunwald/020300a,133,CHI,Target_Child,,,that taperecorder good,258.894,262.98,['good'],"['CHI:when we wake up', 'MOT:when you wake up then it will be gone', ""MOT:you won't see it anymore"", 'CHI:no', 'CHI:this tape', 'CHI:that taperecorder good']",2.25,2-3,Quality
28,48,020300a,childes/Eng-NA/Braunwald/020300a,133,CHI,Target_Child,,,that taperecorder good,258.894,262.98,['good'],"['CHI:when we wake up', 'MOT:when you wake up then it will be gone', ""MOT:you won't see it anymore"", 'CHI:no', 'CHI:this tape', 'CHI:that taperecorder good']",2.25,2-3,Quality
29,49,020300a,childes/Eng-NA/Braunwald/020300a,901,CHI,Target_Child,,,good,1651.064,1652.051,['good'],"['MOT:Laura your your your your kleenexes', 'MOT:I have such a cold', 'CHI:tissues', 'MOT:what', 'CHI:there tissue', 'CHI:good']",2.25,2-3,Approval
30,50,020300a,childes/Eng-NA/Braunwald/020300a,901,CHI,Target_Child,,,good,1651.064,1652.051,['good'],"['MOT:Laura your your your your kleenexes', 'MOT:I have such a cold', 'CHI:tissues', 'MOT:what', 'CHI:there tissue', 'CHI:good']",2.25,2-3,Approval
31,55,020300a,childes/Eng-NA/Braunwald/020300a,133,CHI,Target_Child,,,that taperecorder good,258.894,262.98,['good'],"['CHI:when we wake up', 'MOT:when you wake up then it will be gone', ""MOT:you won't see it anymore"", 'CHI:no', 'CHI:this tape', 'CHI:that taperecorder good']",2.25,2-3,Quality
32,56,020300a,childes/Eng-NA/Braunwald/020300a,133,CHI,Target_Child,,,that taperecorder good,258.894,262.98,['good'],"['CHI:when we wake up', 'MOT:when you wake up then it will be gone', ""MOT:you won't see it anymore"", 'CHI:no', 'CHI:this tape', 'CHI:that taperecorder good']",2.25,2-3,Quality
33,57,020300a,childes/Eng-NA/Braunwald/020300a,901,CHI,Target_Child,,,good,1651.064,1652.051,['good'],"['MOT:Laura your your your your kleenexes', 'MOT:I have such a cold', 'CHI:tissues', 'MOT:what', 'CHI:there tissue', 'CHI:good']",2.25,2-3,Satisfaction
34,58,020300a,childes/Eng-NA/Braunwald/020300a,901,CHI,Target_Child,,,good,1651.064,1652.051,['good'],"['MOT:Laura your your your your kleenexes', 'MOT:I have such a cold', 'CHI:tissues', 'MOT:what', 'CHI:there tissue', 'CHI:good']",2.25,2-3,Approval
35,63,020330,childes/Eng-NA/Braunwald/020330,54,CHI,Target_Child,,,good egg,119.499,120.544,['good'],"['MOT:oh', 'MOT:no', 'MOT:what happened', 'SIS:what', 'CHI:and what is is', 'CHI:good egg']",2.25,2-3,Quality
36,64,020423,childes/Eng-NA/Braunwald/020423,6,CHI,Target_Child,,,it's very good for me,12.512,14.834,['good'],"['CHI:no', 'CHI:in in in', ""MOT:Laura I'm gonna put your bottle"", 'CHI:no', ""CHI:don't put it in here"", ""CHI:it's very good for me""]",2.33,2-3,Beneficial
37,65,020423,childes/Eng-NA/Braunwald/020423,12,CHI,Target_Child,PI,,is is very good,20.307,24.649,['good'],"[""MOT:it's good for you"", 'CHI:yeah', ""MOT:well I don't want you to drink a bottle at breakfast"", 'MOT:no', 'MOT:can can', 'CHI:is is very good']",2.33,2-3,Preference
38,66,020423,childes/Eng-NA/Braunwald/020423,34,CHI,Target_Child,,,Cwww's very good girl,118.61,121.535,['good'],"['MOT:right here', 'MOT:on this part of her body', ""MOT:she stands on four legs so you don't see her tummy do you"", 'MOT:you see her back', 'MOT:but when she lies down you can see her tummy', ""CHI:Cwww's very good girl""]",2.33,2-3,Animals
39,68,020530,childes/Eng-NA/Braunwald/020530,32,CHI,Target_Child,PI,,it's good,79.93,83.355,['good'],"[""MOT:it's dripping"", 'MOT:it it down', 'CHI:milk', 'MOT:the milk spilt', ""MOT:it's"", ""CHI:it's good""]",2.42,2-3,Emotion
40,69,020610,childes/Eng-NA/Braunwald/020610,396,CHI,Target_Child,I,,good,1096.987,1098.346,['good'],"['CHI:ah', 'CHI:ah', 'CHI:ah', 'CHI:ah', 'SIS:good', 'CHI:good']",2.5,2-3,Emotion
41,72,020710,childes/Eng-NA/Braunwald/020710,55,CHI,Target_Child,,,Peabody good name for a dog,91.826,92.755,['good'],"['CHI:a too_too', 'MOT:what did you tell me in the pool was a good name for a dog', 'MOT:do you remember', 'CHI:Blue', 'MOT:did you tell me Peabody was a good name for a dog', 'CHI:Peabody good name for a dog']",2.58,2-3,Quality
42,77,020819,childes/Eng-NA/Braunwald/020819,601,CHI,Target_Child,,,good,1409.717,1410.971,['good'],"['MOT:on on on on on', 'CHI:turn it on okay', 'MOT:okay but then we hafta have a conversation before I can turn Laura on', 'MOT:we hafta talk to each_other', ""FAT:how's Swww"", 'CHI:good']",2.67,2-3,Emotion
43,78,030008,childes/Eng-NA/Braunwald/030008,496,CHI,Target_Child,,,oh that taste good,786.274,787.888,['good'],"['SIS:okay', 'SIS:here are your apple flavored', 'SIS:your your your apple flavor', 'SIS:Laura I think it', 'SIS:mhm we need a little more lentils', 'CHI:oh that taste good']",3.0,3-4,Taste.
44,79,030008,childes/Eng-NA/Braunwald/030008,567,CHI,Target_Child,,,my milkshake taste good,918.055,919.785,['good'],"[""SIS:I'm gonna make some more soup I think"", 'SIS:make some more soup', 'CHI:make some more soup', ""SIS:I don't think I should"", 'SIS:no', 'CHI:my milkshake taste good']",3.0,3-4,Taste
45,80,030008,childes/Eng-NA/Braunwald/030008,570,CHI,Target_Child,,,very good,921.364,922.595,['good'],"[""SIS:I don't think I should"", 'SIS:no', 'CHI:my milkshake taste good', 'CHI:I tasted it', 'SIS:mm it tastes nice', 'CHI:very good']",3.0,3-4,Taste
46,81,030008,childes/Eng-NA/Braunwald/030008,571,CHI,Target_Child,,,good,926.995,928.504,['good'],"['SIS:no', 'CHI:my milkshake taste good', 'CHI:I tasted it', 'SIS:mm it tastes nice', 'CHI:very good', 'CHI:good']",3.0,3-4,Taste
47,82,030008,childes/Eng-NA/Braunwald/030008,573,CHI,Target_Child,,,it's good,928.702,929.456,['good'],"['CHI:I tasted it', 'SIS:mm it tastes nice', 'CHI:very good', 'CHI:good', ""SIS:you're right"", ""CHI:it's good""]",3.0,3-4,Taste
48,83,030008,childes/Eng-NA/Braunwald/030008,586,CHI,Target_Child,,,that's good,946.604,947.394,['good'],"['SIS:good', 'CHI:I', ""CHI:they're my apple shake"", 'MOT:huh', 'SIS:apple milkshake', ""CHI:that's good""]",3.0,3-4,Quality
49,84,030018,childes/Eng-NA/Braunwald/030018,56,CHI,Target_Child,PI,,my Mummy's Disney where they can take good care of my baby sister,100.609,106.971,['good'],"['MOT:sometime', 'CHI:mhm hm', ""CHI:I'd better get going"", 'MOT:where are you going', 'CHI:to my Ma', ""CHI:my Mummy's Disney where they can take good care of my baby sister""]",3.0,3-4,Care
50,86,030019,childes/Eng-NA/Braunwald/030019,92,CHI,Target_Child,,,good,292.271,293.246,['good'],"[""SIS:I don't even hafta go"", 'SIS:okay', ""SIS:there's not much left Laura"", 'CHI:bits', ""SIS:how's that"", 'CHI:good']",3.0,3-4,Emotion
51,88,030125b,childes/Eng-NA/Braunwald/030125b,148,CHI,Target_Child,"IN,PI",,but I was taking good,274.474,279.187,['good'],"[""MOT:yes I'm glad that the other fish is healthy and that Kwww didn't hurt both fish"", 'CHI:yeah', 'MOT:we really hafta not let Kwww where the fish are', 'FAT:or the hamster', 'MOT:or the hamsters', 'CHI:but I was taking good']",3.08,3-4,Behavior
52,100,030422,childes/Eng-NA/Braunwald/030422,152,CHI,Target_Child,,,is that good,194.847,195.834,['good'],"['MOT:she had an eight pound girl named Twww', 'MOT:it it it it it it it it it', 'MOT:Twww I guess', 'SIS:Twww', 'CHI:I', 'CHI:is that good']",3.33,3-4,Certainty
53,101,030528a,childes/Eng-NA/Braunwald/030528a,246,CHI,Target_Child,,,really good,440.478,441.557,['good'],"['SIS:mm', 'SIS:on the commercial they said', 'MOT:a a', 'FAT:mm', 'CHI:mm', 'CHI:really good']",3.42,3-4,Emotion
54,103,030528b,childes/Eng-NA/Braunwald/030528b,1045,CHI,Target_Child,PI,,there's good girl,1749.076,1751.387,['good'],"['CHI:and this is Jan', ""CHI:and this is Jan's"", 'CHI:and this is Jan', 'MOT:I see', 'CHI:this is the girl who live next door to us', ""CHI:there's good girl""]",3.42,3-4,Character
55,104,030528c,childes/Eng-NA/Braunwald/030528c,87,CHI,Target_Child,PI,,good no do you your,199.505,201.444,['good'],"[""SIS:they're they're they're they're they're staying on"", 'SIS:and his feet grown', 'CHI:do you want', 'CHI:off off off off off', 'CHI:the the', 'CHI:good no do you your']",3.42,3-4,Approval
56,105,030528d,childes/Eng-NA/Braunwald/030528d,309,CHI,Target_Child,,,good,912.162,913.718,['good'],"['CHI:oh', 'CHI:okay', 'CHI:sitting sitting', 'SIS:what kind there there', ""SIS:they don't know what kind it is"", 'CHI:good']",3.42,3-4,Approval
57,106,030528d,childes/Eng-NA/Braunwald/030528d,1151,CHI,Target_Child,,,but mine is good,2665.397,2666.918,['good'],"['CHI:how you get pink', 'SIS:this is sort of maroon with pink', 'CHI:oh', 'SIS:okay', 'CHI:okay', 'CHI:but mine is good']",3.42,3-4,Quality
58,107,030528d,childes/Eng-NA/Braunwald/030528d,1152,CHI,Target_Child,,,isn't my treasure box good,2666.907,2669.426,['good'],"['SIS:this is sort of maroon with pink', 'CHI:oh', 'SIS:okay', 'CHI:okay', 'CHI:but mine is good', ""CHI:isn't my treasure box good""]",3.42,3-4,Quality
59,108,030528d,childes/Eng-NA/Braunwald/030528d,1154,CHI,Target_Child,,,isn't this good good,2671.353,2673.037,['good'],"['SIS:okay', 'CHI:okay', 'CHI:but mine is good', ""CHI:isn't my treasure box good"", 'SIS:yeah', ""CHI:isn't this good good""]",3.42,3-4,Comparison
60,109,030528d,childes/Eng-NA/Braunwald/030528d,1156,CHI,Target_Child,,,this has turned out really good,2677.777,2680.528,['good'],"['CHI:but mine is good', ""CHI:isn't my treasure box good"", 'SIS:yeah', ""CHI:isn't this good good"", 'CHI:yes', 'CHI:this has turned out really good']",3.42,3-4,Evaluation
61,110,030528d,childes/Eng-NA/Braunwald/030528d,1202,CHI,Target_Child,PI,,another good color,2781.311,2784.608,['good'],"['CHI:I need that', 'SIS:sort of gonna draw', 'CHI:this is I get all', 'SIS:wet and sorta', ""SIS:see that's gonna dry everybody's gonna be"", 'CHI:another good color']",3.42,3-4,Opinion
62,111,030528d,childes/Eng-NA/Braunwald/030528d,1206,CHI,Target_Child,,,good doesn't it Jwww,2793.791,2796.345,['good'],"[""SIS:see that's gonna dry everybody's gonna be"", 'CHI:another good color', 'CHI:now I can cut', 'CHI:I put this in here and then all these colors I get that color', 'CHI:do you know how that works', ""CHI:good doesn't it Jwww""]",3.42,3-4,Emotion
63,112,030528d,childes/Eng-NA/Braunwald/030528d,1207,CHI,Target_Child,PI,,good,2798.147,2800.086,['good'],"['CHI:another good color', 'CHI:now I can cut', 'CHI:I put this in here and then all these colors I get that color', 'CHI:do you know how that works', ""CHI:good doesn't it Jwww"", 'CHI:good']",3.42,3-4,Satisfaction
64,113,030528d,childes/Eng-NA/Braunwald/030528d,1272,CHI,Target_Child,,,isn't that good,2982.644,2984.571,['good'],"['CHI:all this mine is', 'CHI:we could do it like this', 'CHI:can we Jwww', 'CHI:I', ""CHI:I'm almost done with my treasure box"", ""CHI:isn't that good""]",3.42,3-4,Positive
65,114,030528d,childes/Eng-NA/Braunwald/030528d,1471,CHI,Target_Child,,,good boy,3358.375,3359.559,['good'],"['MOT:here Twww', 'CHI:here', 'FAT:come on', 'FAT:come boy boy', 'CHI:here', 'CHI:good boy']",3.42,3-4,Approbation
66,115,030528d,childes/Eng-NA/Braunwald/030528d,1485,CHI,Target_Child,PI,,this is this good,3412.115,3414.321,['good'],"['CHI:this is my', 'CHI:there there there there there', 'CHI:this to dry', 'SIS:look at that', 'SIS:here', 'CHI:this is this good']",3.42,3-4,Quality
67,116,030528d,childes/Eng-NA/Braunwald/030528d,1535,CHI,Target_Child,,,isn't that good Jwww,3493.001,3494.975,['good'],"['CHI:I killed it in there', 'CHI:how do you open it', ""SIS:I don't know"", 'CHI:hey', 'CHI:I already got it open', ""CHI:isn't that good Jwww""]",3.42,3-4,Achievement
